SCH3112-NU

Pin,Name,Side,Unit
1,    +12V_IN    , left   ,1
2,    +5V_IN     , left   ,1
3,    DRVDEN0    , left       ,2
4,    VTR        , left   ,1
5,    ~MTR0      , left   ,2
6,    ~DSKCHG    , left   ,2
7,    ~DS0       , left   ,2
8,    VSS        , left   ,1
9,    ~DIR       , left   ,2
10,   ~STEP      , left   ,2
11,   ~WDATA     , left   ,2
12,   ~WGATE     , left   ,2
13,   ~HDSEL     , left   ,2
14,   ~INDEX     , left   ,2
15,   ~TRK0      , left   ,2
16,   ~WRTPRT    , left   ,2
17,   ~RDATA     , left   ,2
18,   CLK14P3    , left       ,1
19,   LAD0       , left       ,7
20,   LAD1       , left       ,7
21,   LAD2       , left       ,7
22,   LAD3       , left       ,7
23,   LFRAMEB    , left       ,7
24,   LDRQB      , left       ,7
25,   LRESETB    , left       ,7
26,   XPCICLK    , left       ,7
27,   XSIRQ      , left       ,7
28,   VSS        , left       ,1
29,   VDD        , left       ,1
30,   TXD6       , left       ,7
31,   RXD6       , left       ,7
32,   SCIN6      , left       ,7
33,   SCOUT6B    , bottom        ,7
34,   ANVSS      , bottom       ,1
35,   AVDDBAT    , bottom       ,1
36,   IO_SMIB    , bottom       ,6
37,   KBDDAT     , bottom       ,4
38,   KBDCLK     , bottom       ,4
39,   MSDAT      , bottom       ,4
40,   MSCLK      , bottom       ,4
41,   KBDRSTB    , bottom       ,4
42,   A20M       , bottom       ,4
43,   VSS        , bottom       ,1
44,   AVDDTR     , bottom       ,1
45,   INITB      , bottom       ,5
46,   SLCTINB    , bottom       ,5
47,   PD0        , bottom       ,5
48,   PD1        , bottom       ,5
49,   PD2        , bottom       ,5
50,   PD3        , bottom       ,5
51,   PD4        , bottom       ,5
52,   PD5        , bottom       ,5
53,   PD6        , bottom       ,5
54,   PD7        , bottom       ,5
55,   VSS        , bottom       ,1
56,   XSLCT      , bottom       ,5
57,   XPE        , bottom       ,5
58,   XBUSY      , bottom       ,5
59,   XACKB      , bottom       ,5
60,   XERRORB    , bottom       ,5
61,   AUTOFDB    , bottom       ,5
62,   STROBEB    , bottom       ,5
63,   RI1B       , bottom       ,3
64,   DCD1B      , bottom       ,3
65,   RXD1       , right        ,3
66,   TXD1       , right        ,3
67,   DSR1B      , right        ,3
68,   RTS1B      , right        ,3
69,   CTS1B      , right        ,3
70,   DTR1B      , right        ,3
71,   RI2B       , right        ,3
72,   AVDDTR     , right        ,1
73,   VSS        , right        ,1
74,   DCD2B      , right        ,3
75,   RXD2       , right        ,3
76,   TXD2       , right        ,3
77,   DSR2B      , right        ,3
78,   RTS2B      , right        ,3
79,   CTS2B      , right        ,3
80,   DTR2B      , right        ,3
81,   RXD5       , right        ,1
82,   TXD5       , right        ,1
83,   XPB_INB    , right        ,1
84,   XSLP_SXB   , right        ,1
85,   RXD3       , right        ,3
86,   TXD3       , right        ,3
87,   DSR3B      , right        ,3
88,   RTS3B      , right        ,3
89,   CTS3B      , right        ,3
90,   PMEB       , right        ,8
91,   AVDDTR     , right        ,1
92,   DTR3B      , right        ,3
93,   LED2       , right        ,1
94,   LED1       , right        ,1
95,   RI3B       , right        ,8
96,   DCD3B      , right        ,8
97,   RI4B       , top        ,8
98,   DCD4B      , top       ,3
99,   CLKI32     , top       ,1
100,  XRSMRSTB   , top       ,1
101,  VSS        , top       ,1
102,  RXD4       , top       ,8
103,  TXD4       , top       ,8
104,  DSR4B      , top       ,8
105,  RTS4B      , top       ,8
106,  CTS4B      , top       ,8
107,  DTR4B      , top       ,8
108,  PWRGOOD_OUT, top       ,1
109,  XPWRGD_PS  , top       ,1
110,  XFPRSTB    , top       ,1
111,  AVDDTR     , top       ,1
112,  VSS        , top       ,1
113,  ~THERMTRIP , top           ,6
114,  ~HWM_INT   , top     ,6
115,  PWM3       , top   ,6
116,  PWM2       , top     ,6
117,  PWM1       , top     ,6
118,  FANTACH3   , top         ,6
119,  FANTACH2   , top       ,6
120,  FANTACH1   , top       ,6
121,  HVSS       , top        ,2
122,  HVTR       , top     ,2
123,  REMOTE2-   , top         ,7
124,  REMOTE2+   , top       ,7
125,  REMOTE1-   , top       ,7
126,  REMOTE1+   , top       ,7
127,  VCCP_IN    , top      ,1
128,  +2.5V_IN   , top        ,1
